song,artist,trackid,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
Holiday In Cambodia,Foo Fighters,2OuNnwnNQyWrF47pthWxNb,0.133,0.927,7,1,0.0741,0.00344,0.00044,0.0915,0.5,197.708,224867,4,224.86667,22050,1,0.08413,222.2556,-5.371,197.708,0.212,4,1.0,7,0.415,1,0.478
Wake Up Everybody,John Legend,763jJ8T1utfvNqz1WRDzx4,0.573,0.546,6,1,0.0631,0.154,0.0,0.186,0.636,98.223,451400,4,451.4,22050,1,0.29016,443.33859,-12.163,98.223,0.679,4,1.0,6,0.622,1,0.534
I'll Meet You There,Owl City,5yej7ZOcsmAgfOlBsov1ED,0.5,0.803,4,1,0.0344,0.0513,0.0,0.173,0.781,164.013,182320,4,182.32,22050,1,0.18848,170.26032,-3.282,164.013,0.251,4,0.601,4,0.583,1,0.537
A Winter's Tale,Queen,26mWof6V1cuAmp8KSbTEIo,0.55,0.0548,9,1,0.0549,0.902,0.895,0.106,0.265,164.282,199866,3,199.86626,22050,1,0.22068,191.83746,-30.269,164.282,0.342,3,1.0,9,0.64,1,0.359
Million Dollar Question,Radiohead,5kQr86F5KOLx5gIfpfAeNV,0.14,0.869,2,1,0.12,0.000619,0.0501,0.0394,0.315,166.534,198200,4,198.2,22050,1,0.43932,182.31728,-11.682,166.534,0.435,4,0.936,2,0.546,1,0.611
I Love Paris,Ella Fitzgerald,6DH3tZeaV2AZuaCJcdidRd,0.786,0.338,0,1,0.234,0.542,0.00987,0.109,0.56,113.878,215413,4,215.41333,22050,1,0.46807,207.56898,-14.19,113.878,0.818,4,1.0,0,0.503,1,0.387
Feel Like Makin' Love,Queen,3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,7,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4,313.84,22050,1,0.16848,297.23283,-9.717,85.126,0.251,4,1.0,7,0.716,1,0.72
Insidiously,Sia,5TG35p7Ns9LJYa7Wkfcujf,0.438,0.676,4,1,0.0669,0.283,0.511,0.158,0.405,91.215,530253,3,530.25333,22050,1,0.0,467.7776,-10.62,91.215,0.245,3,0.97,4,0.0,1,0.134
Saving All My Love For You,Whitney Houston,1lx8ddGT5wCD6W2xmLeRKG,0.636,0.264,6,0,0.0263,0.593,4.22e-05,0.275,0.264,99.304,238467,3,238.46667,22050,1,0.94073,218.999,-14.567,99.304,0.039,3,1.0,6,0.426,0,0.509
All My Life,Ella Fitzgerald,5GorFaKkP2mLREQvhSblIg,0.634,0.528,1,1,0.0309,0.117,2.26e-06,0.0565,0.18,128.0,331240,4,331.24,22050,1,0.37161,307.50766,-8.834,128.0,0.624,4,0.731,1,0.549,1,0.658
Electricity,Elton John,5N4erncE7kuUccm7zEmwzk,0.588,0.67,0,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,238.17333,22050,1,0.238,230.01687,-6.439,118.159,0.706,4,1.0,0,0.422,1,0.479
Outside,Foo Fighters,3sA7HKGzcKTVscdiTCrWpX,0.851,0.666,11,0,0.0694,0.139,0.0,0.105,0.0585,134.068,129105,4,129.1054,22050,1,0.0,129.10539,-5.334,134.068,0.55,4,1.0,11,0.645,0,0.526
Dementia,Owl City,1iDugXsvJ2cb5snhHP3t41,0.308,0.993,0,1,0.159,0.0459,0.00392,0.0773,0.0825,127.511,283853,4,283.85333,22050,1,3.93578,271.51093,-3.853,127.511,0.704,4,1.0,0,0.238,1,0.471
Stone Cold Crazy,Queen,1v870eS7JuHSeBNBFsVz3b,0.425,0.928,7,1,0.0853,0.0237,0.00429,0.0908,0.464,120.421,133813,4,133.81333,22050,1,0.0,131.75583,-6.531,120.421,0.346,4,0.441,7,0.481,1,0.335
Must Be The Ganja,Eminem,5PVv4YALJruehQKyAlwjfE,0.759,0.81,1,1,0.288,0.343,0.0,0.34,0.78,83.03,242907,4,242.90667,22050,1,0.0,242.90666,-0.026,83.03,0.368,4,1.0,1,0.209,1,0.355
House,Elton John,0N8MGHEDAq29ip7RrlrTeN,0.537,0.837,0,1,0.039,0.19,0.0,0.348,0.533,90.083,206120,4,206.12,22050,1,0.0698,198.14748,-4.477,90.083,0.031,4,1.0,0,0.514,1,0.581
Maxine's Interlude,John Legend,14gPCmJHuXrgGiytQGnv3Q,0.384,0.643,9,1,0.035,0.246,0.843,0.491,0.513,167.826,110467,4,110.46667,22050,1,0.23923,104.51882,-9.739,167.826,0.322,4,1.0,9,0.42,1,0.413
Savior,Red Hot Chili Peppers,3asFGFY3uLjMDmML1p0tYm,0.549,0.93,5,0,0.0487,0.00164,6.67e-05,0.39,0.526,112.447,242280,4,242.28,22050,1,0.1151,235.8741,-3.468,112.447,0.729,4,0.708,5,0.379,0,0.474
Khashoggi's Ship,Queen,036T4a68p0Ah71ed1yz9y2,0.508,0.755,11,1,0.0794,0.211,5.7e-05,0.394,0.6,95.118,166973,4,166.97333,22050,1,0.0,157.77379,-9.549,95.118,0.506,4,1.0,11,0.513,1,0.632
Amy,Elton John,30FURVTCpbKyykjSEQzGkH,0.49,0.725,10,1,0.0392,0.123,2.68e-05,0.0983,0.335,123.28,240440,4,240.44,22050,1,0.16884,232.78585,-3.304,123.28,0.068,4,0.942,10,0.028,1,0.219
Fairy Tales,Ella Fitzgerald,2w7CXqA8SonrkEC74zuBVM,0.509,0.59,7,1,0.114,0.757,0.0,0.152,0.443,160.25,234023,3,234.02295,22050,1,0.0,225.45415,-6.523,160.25,0.179,3,1.0,7,0.237,1,0.35
I'm In Love With My Car,Queen,1EID0aupOLdv4ZDQu2Jbrz,0.3,0.813,4,0,0.0697,0.0132,1.3e-05,0.232,0.321,143.772,184893,3,184.89333,22050,1,0.0,179.53669,-8.508,143.772,0.365,3,0.95,4,0.49,0,0.385
Step On Me,Queen,1wEeNtO7z41aUqC80shxqK,0.689,0.679,7,0,0.0321,0.0838,0.000124,0.14,0.669,123.443,255220,4,255.22018,22050,1,0.38431,242.89234,-12.14,123.443,0.88,4,0.916,7,0.72,0,0.747
Pictures,Sia,4Q3N4Ct4zCuIHuZ65E3BD4,0.497,0.489,11,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,4,268.18667,22050,1,0.15651,268.18668,-7.724,171.853,0.329,4,1.0,11,0.567,0,0.563
Do Ya Thing,Rihanna,5ZcmLAogrj4HF8Odrz9XA2,0.754,0.763,1,1,0.295,0.32,0.0,0.143,0.704,159.963,265693,3,265.69333,22050,1,0.23406,263.3259,-6.57,159.963,0.39,3,0.807,1,0.66,1,0.546
Live-In Skin,Foo Fighters,6olSqj5lSv0Fy8iB0MUU5c,0.492,0.97,2,1,0.0616,3.71e-05,0.0,0.155,0.487,118.211,232720,4,232.72,22050,1,0.22104,232.72,-3.877,118.211,0.817,4,1.0,2,0.685,1,0.505
Baby (You've Got What It Takes),Michael Buble,6gn3MDRvr5iUAA2aPgEX2X,0.675,0.604,3,1,0.066,0.836,0.00167,0.654,0.808,133.412,165760,4,165.76,22050,1,0.19324,157.58803,-9.334,133.412,0.785,4,0.852,3,0.448,1,0.366
A Ship Without A Sail,Ella Fitzgerald,2RcZIrOCedVC6RYHTnlm7y,0.402,0.841,8,1,0.0333,0.0552,0.0,0.139,0.784,169.541,278680,4,278.68,22050,1,1.34091,265.72336,-8.136,169.541,0.13,4,1.0,8,0.466,1,0.534
My Name Is Not Susan,Whitney Houston,7623p8KZ24WTeO0NeIb4tV,0.781,0.899,11,0,0.0558,0.178,0.0,0.351,0.509,101.126,277933,4,277.93333,22050,1,0.48753,267.1688,-7.875,101.126,0.471,4,1.0,11,0.0,0,0.14
I Wish You Love,Michael Buble,76puoNshqjAAocKl5KbmpQ,0.486,0.448,7,1,0.0342,0.757,0.0,0.0852,0.17,152.864,296040,3,296.04,22050,1,0.13347,279.9688,-9.133,152.864,0.316,3,0.964,7,0.464,1,0.406
Murder Murder,Eminem,7eBqSVxrzQZtK2mmgRG6lC,0.759,0.73,0,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,4,268.43429,22050,1,0.16834,250.4156,-7.985,115.007,0.44,4,0.676,0,0.565,0,0.751
"For You, For Me For Evermore",Ella Fitzgerald,0CPmQErlKTaWgsGfmpOyiy,0.485,0.25,1,1,0.0542,0.816,0.0,0.114,0.342,130.92,188187,4,188.18667,22050,1,0.1615,177.04054,-9.962,130.92,0.306,4,0.598,1,0.424,1,0.495
Dreams Are Made For Children,Ella Fitzgerald,2tnE9JY4NpZ8DPk2Y1VYIA,0.305,0.086,1,1,0.0415,0.965,0.000133,0.249,0.147,127.007,157653,5,157.65333,22050,1,0.08172,153.03111,-17.952,127.007,0.071,5,0.943,1,0.841,1,0.57
Lost Opportunity,Queen,3uE41GyBRAF0bF9Z0ltQrt,0.369,0.439,4,1,0.0276,0.348,0.0538,0.15,0.169,148.421,231800,3,231.8,22050,1,0.20898,226.84154,-12.167,148.421,0.073,3,1.0,4,0.725,1,0.48
If You Want Me To Stay,Red Hot Chili Peppers,2BydLQAh7CUIFvSEqAMc4x,0.843,0.48,11,0,0.0492,0.28,0.000782,0.108,0.762,101.993,180493,4,180.49333,22050,1,0.22467,167.31138,-11.574,101.993,0.115,4,0.787,11,0.404,0,0.348
I'm Alone Again,Foo Fighters,7wz42M1Ta2q2Yab7WecFEh,0.657,0.537,3,1,0.0517,0.00517,0.963,0.0732,0.191,102.003,151484,4,151.48408,22050,1,4.19701,141.32825,-9.036,102.003,0.126,4,1.0,3,0.896,1,0.761
Empty Handed,Foo Fighters,4rDwTksjXHBngObS3cXAX0,0.148,0.966,7,1,0.103,2.42e-05,0.00529,0.357,0.197,93.046,267147,4,267.14667,22050,1,0.0,258.53098,-2.797,93.046,0.129,4,0.905,7,0.606,1,0.505
Gimme Some Lovin',Queen,3qCHUm73I3o5F1mDEfibzo,0.593,0.549,0,1,0.0329,0.151,0.000393,0.43,0.396,147.554,178840,4,178.84,22050,1,0.39474,168.50141,-6.394,147.554,0.078,4,1.0,0,0.58,1,0.563
"January 28, 1986",Owl City,2XHvUKizLgTJpmet7YWgZH,0.398,0.476,1,1,0.165,0.542,0.0,0.191,0.611,102.494,37973,1,37.97333,22050,1,2.84444,37.97333,-14.605,102.494,0.33,1,0.942,1,0.677,1,0.514
Fragile Friend,Radiohead,5VRjjOvhj5gaoN3KC96c34,0.628,0.496,7,1,0.0331,0.367,0.0978,0.0602,0.369,107.122,256093,4,256.09333,22050,1,4.23184,248.04136,-11.71,107.122,0.86,4,0.986,7,0.073,1,0.306
If I Were A Bell,Ella Fitzgerald,0x3VS084OocWXmOs6nPYGC,0.612,0.483,5,1,0.0414,0.808,0.000279,0.19,0.649,92.721,493160,4,493.16,22050,1,0.99755,487.76417,-7.838,92.721,0.241,4,0.752,5,0.285,1,0.438
Liar,Queen,2RSHsoi04658QL5xgQVov3,0.383,0.637,3,1,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773,4,260.77333,22050,1,0.23107,250.8742,-6.993,177.913,0.04,4,1.0,3,0.294,1,0.542
Don't Bring Me Down,Sia,72ahyckBJfTigJCFCviVN7,0.638,0.867,2,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,243373,4,243.37333,22050,1,0.14322,236.72163,-6.469,115.692,0.798,4,0.814,2,0.493,1,0.498
I Can't Give You Anything But Love,Ella Fitzgerald,6rPeI30oZ1yoATa1cDmEFS,0.505,0.522,2,1,0.0455,0.563,0.000168,0.311,0.546,126.356,193307,4,193.30667,22050,1,0.38104,185.58549,-7.207,126.356,0.162,4,0.942,2,0.608,1,0.489
Bruises,Train,5y0ET06ZzyxDzR4lB4JGhP,0.571,0.259,4,1,0.0773,0.961,0.0,0.153,0.378,110.913,218492,4,218.49247,22050,1,0.19138,211.51637,-9.353,110.913,0.265,4,0.972,4,0.168,1,0.358
Dream A Little Dream Of Me,Ella Fitzgerald,5MjAGtm2ihbBK9G30ZN3Ju,0.549,0.169,9,0,0.0779,0.918,0.0,0.159,0.36,79.318,187693,4,187.69333,22050,1,0.60639,178.19574,-13.433,79.318,0.108,4,0.84,9,0.0,0,0.208
C'mon Girl,Red Hot Chili Peppers,0CZQNI3Evb4Nd8GeU49LFj,0.546,0.884,11,0,0.0374,0.0249,0.000276,0.457,0.62,112.331,228667,4,228.66667,22050,1,0.06744,222.78385,-3.719,112.331,0.956,4,1.0,11,0.742,0,0.664
Castles Made Of Sand,Red Hot Chili Peppers,3qebSLgUwaEqbwCM5sj5Kh,0.461,0.714,11,0,0.313,0.504,0.0171,0.684,0.454,94.372,168920,4,168.92,22050,1,0.42776,161.09424,-9.159,94.372,0.438,4,0.928,11,0.419,0,0.465
I Am In Love,Ella Fitzgerald,4UKCKdYiLN6IMA5ZESUTL7,0.699,0.304,1,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4,160.18444,22050,1,0.0,160.18445,-11.192,119.705,0.218,4,1.0,1,0.053,1,0.464
Nude,Radiohead,5k7VKj1Xwy5DjO4B0PdAOb,0.537,0.342,4,1,0.0338,0.833,0.6,0.0856,0.156,128.331,255387,3,255.38667,22050,1,0.0,248.04717,-9.785,128.331,0.498,3,1.0,4,0.306,1,0.445
I'm Just A Lucky So And So,Ella Fitzgerald,3K2WtSk17O9xNROXc1W8Hr,0.591,0.113,0,1,0.0446,0.974,0.0,0.0972,0.369,66.961,177267,4,177.26667,22050,1,0.52222,166.56834,-16.203,66.961,0.169,4,0.721,0,0.418,1,0.422
How To Disappear Completely,Radiohead,69pwmeyvQMuHMtkCmpEWhQ,0.168,0.302,6,0,0.0344,0.315,0.79,0.11,0.205,102.041,356333,4,356.33333,22050,1,0.07442,344.39837,-11.645,102.041,0.101,4,1.0,6,0.573,0,0.674
Whatever It Takes,Michael Buble,6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,10,0,0.0311,0.0362,0.0,0.117,0.556,134.945,201240,4,201.24,22050,1,0.33669,193.02748,-5.021,134.945,0.467,4,1.0,10,0.0,0,0.158
Separator,Radiohead,2rA36OZNb3LkvqcNro1ugK,0.693,0.776,3,1,0.056,0.0395,0.737,0.0884,0.659,113.808,319249,4,319.24912,22050,1,0.0,311.65823,-9.804,113.808,1.0,4,1.0,3,0.26,1,0.177
When The Fog Rolls In,Train,7Jg93eTHUzLaePH9Ki6lfP,0.276,0.576,2,1,0.0344,0.191,0.00016,0.082,0.223,172.08,261760,3,261.76,22050,1,0.30912,250.04408,-3.849,172.08,0.232,3,1.0,2,0.949,1,0.916
Maxine,John Legend,0Ar1ynkK5zEqFsw2vgez4w,0.678,0.524,5,1,0.0708,0.53,2.46e-05,0.153,0.891,148.246,198333,4,198.33333,22050,1,0.782,181.4117,-9.679,148.246,0.338,4,1.0,5,0.756,1,0.502
This Moment,Katy Perry,6gp6sejiJXYU1i6xHPf8hh,0.253,0.00611,4,1,0.0489,0.995,0.959,0.0861,0.309,81.02,154663,4,154.66349,22050,1,0.5581,141.92617,-29.25,81.02,0.106,4,0.985,4,0.52,1,0.637
Stories,Sia,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6,0,0.0527,0.31,0.0,0.198,0.613,127.999,230613,4,230.61333,22050,1,0.31347,225.01878,-3.863,127.999,0.718,4,0.987,6,0.55,0,0.707
How Will I Know,Whitney Houston,5tdKaKLnC4SgtDZ6RlWeal,0.832,0.544,6,1,0.0442,0.201,0.000139,0.632,0.928,119.49,275533,4,275.53333,22050,1,1.33229,266.0078,-12.697,119.49,0.781,4,1.0,6,0.727,1,0.592
Chasing Your Love,John Legend,2mGADwt2WeR3D4LevhX7VP,0.717,0.305,4,1,0.0371,0.91,0.0356,0.108,0.327,153.937,225462,4,225.46245,22050,1,0.26118,218.37206,-14.905,153.937,0.301,4,1.0,4,0.731,1,0.66
I Was Born To Love You,Queen,1CKo7tzWiPzIGXc28DrABh,0.452,0.912,8,1,0.0822,0.097,0.0,0.0982,0.522,139.072,289813,4,289.81333,22050,1,0.20304,283.21379,-5.986,139.072,0.534,4,0.788,8,0.592,1,1.0
Georgia On My Mind,Ella Fitzgerald,4IbOPxstIn2KbdlWf5xRZ0,0.269,0.239,0,0,0.03,0.842,0.00194,0.0938,0.162,176.916,188227,3,188.22667,22050,1,3.34367,175.62993,-10.522,176.916,0.302,3,0.745,0,0.282,0,0.481
Sail Away Sweet Sister,Queen,1OnaB4QOjUqfpMY5iEa2Pd,0.528,0.508,9,1,0.0262,0.825,0.0,0.0889,0.205,80.346,213427,4,213.42667,22050,1,2.14204,198.94857,-6.801,80.346,0.311,4,0.967,9,0.037,1,0.365
Fascist Faces,Elton John,2byAwZoNnmSKGMdPo7hyS9,0.53,0.745,5,1,0.0335,0.155,1.04e-05,0.149,0.491,81.707,311427,4,311.42667,22050,1,0.17297,294.9805,-9.777,81.707,0.176,4,0.995,5,0.941,1,0.624
Afterparty,Rihanna,0y8Wf6ltWpGCpgqVa21QNX,0.653,0.794,7,1,0.0894,0.121,0.0,0.365,0.645,93.008,219480,4,219.48,22050,1,0.0,215.20834,-3.828,93.008,0.256,4,1.0,7,0.56,1,0.576
Butterfly Wings,Owl City,6GtX0jaNL8IjVQfrDBx81z,0.404,0.72,10,0,0.0626,5.59e-05,0.836,0.0466,0.475,121.649,258467,4,258.46667,22050,1,0.18463,249.95701,-9.18,121.649,0.602,4,0.905,10,0.53,0,0.626
It Ain't Gonna Be Easy,Elton John,0PuA4sglslF8Tp3mwadnaA,0.617,0.455,6,0,0.0392,0.172,0.0,0.0556,0.254,130.052,507933,4,507.93333,22050,1,0.3541,481.73859,-10.758,130.052,0.407,4,0.997,6,0.262,0,0.413
Knives Out,Radiohead,2xbrMtkxp399aSiCJ8EAON,0.433,0.675,2,0,0.0337,0.0911,0.293,0.159,0.184,137.268,254867,4,254.86667,22050,1,0.0,244.26231,-6.702,137.268,0.901,4,0.897,2,0.721,0,0.736
Give Me The Ball,Eminem,49YkD4yiwjJKxdAGYnPLmG,0.204,0.808,4,1,0.0401,0.00186,0.0,0.147,0.17,165.374,243267,4,243.26667,22050,1,0.0,234.57379,-5.018,165.374,0.229,4,0.541,4,0.262,1,0.372
And The House Fell Down,Elton John,0RpONLhBIzTPj90Hl0ukAv,0.576,0.666,0,0,0.0883,0.207,0.141,0.112,0.591,172.025,288653,4,288.65333,22050,1,0.19751,281.19946,-6.637,172.025,0.269,4,1.0,0,0.748,0,0.71
I Saw Her Standing There,Elton John,3KiexfmhxHvG5IgAElmTkd,0.491,0.801,4,1,0.0361,0.27,0.0,0.0665,0.971,160.109,173947,4,173.94667,22050,1,1.03329,167.73515,-9.835,160.109,0.138,4,1.0,4,0.681,1,0.603
I Look To You,Whitney Houston,6I40ZPL4cb2buc3A7sH5YL,0.215,0.395,11,1,0.0339,0.0616,8.11e-06,0.254,0.158,135.893,452520,4,452.52,22050,1,0.0,452.51999,-8.716,135.893,0.292,4,0.745,11,0.814,1,0.599
Ful Stop,Radiohead,4CzTgOmc3Sdm4EgKQWzjQl,0.426,0.661,0,1,0.0503,0.353,0.94,0.619,0.178,151.191,367349,3,367.3488,22050,1,0.0,358.19102,-9.877,151.191,0.379,3,0.788,0,0.195,1,0.405
Stop Whispering,Radiohead,2zYmvi3w2T8a9Ckrv21bvW,0.212,0.696,2,1,0.0472,0.000849,0.0165,0.129,0.298,122.37,325627,4,325.62667,22050,1,0.22186,313.95701,-10.059,122.37,0.532,4,0.987,2,0.96,1,0.957
C-lebrity,Queen,3AtX6qi8BMZTmDpAcc92vM,0.497,0.892,9,1,0.0981,0.0163,0.0,0.0923,0.629,105.102,218240,4,218.24,22050,1,0.19034,215.45215,-5.469,105.102,0.483,4,1.0,9,0.508,1,0.486
Honky Tonk Women,Elton John,3RZMzCvYsmJ0u2ioKTOsmJ,0.562,0.768,7,1,0.0606,0.381,0.03,0.168,0.966,119.544,179387,4,179.38667,22050,1,0.16839,174.0858,-6.613,119.544,0.737,4,0.97,7,0.734,1,0.579
Floating Away,John Legend,3GDQhmgFLvHDF0Tm8IKKev,0.746,0.231,5,0,0.0375,0.884,0.532,0.0885,0.612,101.424,303000,4,303.0,22050,1,0.0,276.6019,-18.956,101.424,0.317,4,0.867,5,0.354,0,0.509
Leaving Tonight,Rihanna,6C0T7QMpmeDoDkke32Ctqb,0.566,0.681,9,0,0.0299,0.0149,0.0,0.104,0.187,119.916,203880,4,203.88,22050,1,3.91256,194.31039,-5.443,119.916,0.6,4,0.953,9,0.43,0,0.5
Russian Roulette,Rihanna,7puC9LjNg0ItpjTz28yeaY,0.706,0.902,7,0,0.0352,0.00909,0.00137,0.17,0.964,130.024,211213,4,211.21333,22050,1,0.47601,206.95946,-2.543,130.024,0.954,4,0.906,7,0.471,0,0.428
White Limo,Foo Fighters,57dem1V7wz8owejklpELCh,0.368,0.939,9,0,0.0382,5.29e-06,0.898,0.082,0.615,84.08,202467,4,202.46667,22050,1,0.14499,197.61923,-3.65,84.08,0.623,4,0.871,9,0.595,0,0.523
Thinking About You,Whitney Houston,1KtD0xaLAikgIt5tPbteZQ,0.725,0.874,0,0,0.0396,0.00262,0.000412,0.0958,0.748,127.985,247933,4,247.93333,22050,1,0.13923,238.8927,-3.715,127.985,0.62,4,1.0,0,0.668,0,0.723
A Foggy Day,Ella Fitzgerald,5q9O3L5TrFoJnHMpEgMoJG,0.431,0.317,0,1,0.0343,0.816,0.0,0.199,0.508,70.141,130279,4,130.27896,22050,1,0.0,125.39356,-6.889,70.141,0.054,4,0.094,0,0.41,1,0.422
Fun It,Queen,1j8z4TTjJ1YOdoFEDwJTQa,0.61,0.893,9,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031,296520,4,296.52,22050,1,0.19107,286.09306,-3.681,104.031,0.102,4,0.994,9,0.524,1,0.501
A Matter of Time,Foo Fighters,3bZKIfJVpW8HktEafRnRP2,0.547,0.765,10,1,0.0286,0.00961,0.0,0.387,0.68,108.265,228893,4,228.89333,22050,1,0.28449,214.15184,-6.126,108.265,0.772,4,1.0,10,0.452,1,0.444
8 Mile Freestyle Pt.Iii Vs,Eminem,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Like I Never Left,Whitney Houston,1H2KZ21IWEEhjoVyqS10S8,0.563,0.239,6,1,0.927,0.917,0.0,0.311,0.456,87.245,1549965,4,1549.96508,22050,1,0.95814,1534.53134,-19.836,87.245,0.022,4,0.302,6,0.528,1,0.36
Keep Talkin,Eminem,13VS3dYd6PnDpBjQrYK1df,0.756,0.898,1,1,0.24,0.0432,0.0,0.282,0.272,95.139,268840,4,268.84,22050,1,0.16875,252.6273,-2.35,95.139,0.614,4,0.929,1,0.832,1,0.623
I Hear Music,Ella Fitzgerald,3lRLQLkWtd0gaqwE6CktjE,0.106,0.264,7,1,0.0334,0.763,0.0,0.124,0.0384,73.325,232333,3,232.33333,22050,1,13.32825,223.02186,-9.543,73.325,0.0,3,0.573,7,0.53,1,0.627
I'm Your Man,Michael Buble,6mjlbRIgMTf2nqY0kq1rOJ,0.753,0.753,5,0,0.0436,0.0144,4.43e-05,0.0711,0.913,113.068,242133,4,242.13333,22050,1,0.17229,242.13333,-13.023,113.068,0.979,4,1.0,5,0.683,0,0.43
Easier To Walk Away,Elton John,1QEDuRCXGqUwkhg2Wp1wKU,0.651,0.804,10,1,0.0546,0.26,0.000325,0.0787,0.79,93.324,262800,4,262.8,22050,1,0.0,259.04762,-9.377,93.324,0.289,4,1.0,10,0.662,1,0.498
Fat Dance,Red Hot Chili Peppers,3BW34zpQNgRUwuQ4eUyzMN,0.662,0.954,4,0,0.0611,0.0503,0.617,0.0771,0.767,101.18,220499,4,220.49937,22050,1,0.06408,215.05161,-3.84,101.18,0.425,4,1.0,4,0.641,0,0.537
Only See,Sia,4KoNBTm9a55KgLMtEaf3n6,0.443,0.94,10,0,0.04,0.00222,0.0,0.263,0.521,95.196,261533,4,261.53333,22050,1,0.22707,254.65905,-5.107,95.196,0.404,4,0.99,10,0.307,0,0.411
Echo,Eminem,1MMk1Fw3vdYDRYj5cilHtt,0.638,0.842,2,1,0.0392,0.0864,0.0,0.624,0.542,103.965,236736,4,236.73596,22050,1,0.29029,227.39882,-6.225,103.965,0.518,4,1.0,2,0.352,1,0.6
Ace In The Hole,Ella Fitzgerald,718EReHrxys0hdkBOB1Dv2,0.847,0.706,5,0,0.0431,0.574,7.99e-06,0.0691,0.815,114.791,155093,4,155.09333,22050,1,0.42345,152.69442,-7.2,114.791,0.879,4,0.671,5,0.622,0,0.55
Dare To Dream,John Legend,65vT38Gvx6xDhQ4NyoQjUV,0.387,0.385,2,1,0.0404,0.786,0.0,0.2,0.406,112.785,207387,4,207.38667,22050,1,0.68095,200.16762,-10.982,112.785,0.123,4,0.202,2,0.144,1,0.313
I Found Out,Red Hot Chili Peppers,6xv7IrfJCruPK1lKMuTKka,0.525,0.649,0,0,0.037,0.672,0.164,0.663,0.617,147.358,521414,4,521.41361,22050,1,0.99918,511.59946,-6.435,147.358,0.009,4,0.819,0,0.083,0,0.0
